Country,State,District,Year,Social Group Type,Land Area Size,Category Of Holdings,"Wholly Irrigated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Irrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Wholly Unirrigated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Unirrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partially Irrigated Holdings (UOM:Number), Scaling Factor:1","Irrigated Area Of Partially Irrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Area Of Partially Irrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Holdings Receiving Irrigation (UOM:Number), Scaling Factor:1","Net Irrigated Area Of Holdings Receiving Irrigation (UOM:Ha(Hectare)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,1,10,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,2,3.589,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,3,11.564,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,7.59,0,0,0,0,0,1,7.59
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,0,0,13,11.362,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,0,0,32,34.274,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,0,0,29,45.107,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,0,0,25,47.417,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,0,0,118,285.425,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,0,0,43,136.924,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,1,4,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
